task_config,seed,round,train_loss,ihm_loss,decomp_loss,pheno_loss,elapsed_s,sigma_decomp,sigma_ihm,sigma_pheno,val_ihm_auroc,val_ihm_auprc,val_decomp_auroc,val_decomp_auprc,val_pheno_macro_auroc
all_tasks,42,1,1.0322114562363605,0.39013566317516646,1.361258885745919,0.4652940865166843,6.5,1.0828895568847656,0.894392728805542,0.8905601501464844,0.693746647073916,0.3007618867167079,0.49876313372099834,0.10773701037886785,0.5463205330882606
all_tasks,42,2,0.9000432775010188,0.3746306660654243,1.3603087379942815,0.44712308114272536,5.9,1.1285791397094727,0.8086206316947937,0.8088570237159729,0.6992712696302368,0.30573064392093857,0.5122505111919367,0.12661406374347547,0.5660833060701312
all_tasks,42,3,0.8206822049669824,0.3704400521308574,1.3530476205213622,0.444448018568572,5.9,1.1514815092086792,0.7413497567176819,0.7488313317298889,0.7181105490968342,0.3253492872005349,0.4068614145620248,0.08971747126466074,0.5788074336189157
all_tasks,42,4,0.7703771094047347,0.36245407177110944,1.3540341377778866,0.44238921895818417,5.8,1.1602561473846436,0.6891010403633118,0.7083798050880432,0.7392481448530712,0.3435925312629785,0.5578442549051541,0.12034372240811,0.584851192479378
all_tasks,42,5,0.757797953083005,0.36765343230624387,1.358513698046905,0.44331743285124997,5.8,1.1648812294006348,0.6540974974632263,0.68501216173172,0.7316051394317435,0.33789604695100817,0.42415359281978904,0.08813694340638434,0.5822557198598826
all_tasks,42,6,0.7268004757087824,0.35668420511822513,1.3388789179023177,0.44154131503604904,5.8,1.158990502357483,0.6274016499519348,0.6724221706390381,0.7444803755943633,0.35993180715605444,0.6385162501024513,0.25599104618009366,0.5917833797335316
all_tasks,42,7,0.7261457857086149,0.35580279896092726,1.3514379314980653,0.44117665707284187,5.8,1.162773847579956,0.6110652089118958,0.6664893627166748,0.7675651675546713,0.3949079622393332,0.3899960722576854,0.08031407302848065,0.59123658737001
all_tasks,42,8,0.7125933677869072,0.34902272337649065,1.3456784054702027,0.44023473333063085,5.8,1.1629036664962769,0.6004223227500916,0.6643454432487488,0.7665551246038965,0.39572324021539107,0.5268033819032201,0.14219751918373336,0.5954660983650184
all_tasks,42,9,0.7082875735374518,0.34325079353095145,1.3575313013193389,0.4401967770147532,5.8,1.1627368927001953,0.5925744771957397,0.664096474647522,0.7685206473604765,0.4114814906450225,0.5660818694776103,0.12599737725132798,0.5931796118831695
all_tasks,42,10,0.705736201923487,0.34636545363472016,1.3397570041589861,0.44002466795225853,5.9,1.1579487323760986,0.5898467302322388,0.6636205911636353,0.7704282748716307,0.41124024882569393,0.5059246107649944,0.10873747443496673,0.5946160551297124
all_tasks,42,11,0.7040095344901606,0.3427142580914185,1.3490994687163673,0.44008155876372057,5.9,1.1630666255950928,0.5857394933700562,0.6636831760406494,0.7760570255672068,0.4176637638736856,0.4512188242106462,0.09263609857710713,0.5964665520480554
all_tasks,42,12,0.7024288406538651,0.3401026793442439,1.3566541354208534,0.43959503845356435,5.8,1.162351369857788,0.5856199264526367,0.6630197167396545,0.7837899977008506,0.4268269259785654,0.44294768013062674,0.11488786717676316,0.5980598693300689
all_tasks,42,13,0.6965267508571324,0.3400776864529697,1.3459166850585604,0.43798625703461824,5.8,1.1593910455703735,0.5835617780685425,0.6612414121627808,0.7854602130545031,0.4281526103847769,0.4079008292964871,0.08485609567813035,0.5989700079167898
all_tasks,42,14,0.6961617730069889,0.33655814696347347,1.3546791932988895,0.43934856049358584,5.8,1.1620795726776123,0.5813670754432678,0.6630439758300781,0.7739244812752615,0.42552295503013315,0.3486116122796766,0.08147375355558525,0.6010305369072744
all_tasks,42,15,0.6918631199926268,0.3360366493333375,1.348321202019937,0.438347518183779,5.8,1.1613389253616333,0.5806921124458313,0.6618938446044922,0.7709439174172223,0.40159841467032226,0.35411098373446337,0.07669473036790236,0.6020638893060931
all_tasks,42,16,0.6923404489542199,0.3360762079470022,1.353354487616943,0.4370893147574762,5.8,1.1603889465332031,0.5804076194763184,0.6608961820602417,0.7846105274381812,0.4323919171058383,0.4229342896161776,0.08865045144365495,0.6064156091286179
all_tasks,42,17,0.6976799630442041,0.3380001040915735,1.3538826212091737,0.4390610460370909,5.9,1.1630377769470215,0.5811965465545654,0.6618614792823792,0.787320358134157,0.4292821404489067,0.45137955296118776,0.09635741394842284,0.6042834549269189
all_tasks,42,18,0.6925485777022016,0.33433292601176223,1.357598600949783,0.4381803384774637,5.9,1.1660188436508179,0.5790972113609314,0.6604271531105042,0.7811959574957267,0.42918194234918056,0.42743629127455773,0.08828681301755714,0.6049959810119175
all_tasks,42,19,0.6884304230390157,0.3340064094576773,1.3494043199255998,0.4376362083260149,5.9,1.162764310836792,0.5782933235168457,0.660865306854248,0.787340350736894,0.4195404500576094,0.41988736214316347,0.09579097008427506,0.6033211512984408
all_tasks,42,20,0.6881265231615591,0.3342886207926221,1.3457085760920329,0.43820581829183486,5.9,1.162926197052002,0.5774485468864441,0.662771463394165,0.7879692846979951,0.42658611498635657,0.409369741056403,0.08949762258502159,0.6047876923811661
all_tasks,42,21,0.6879934092015678,0.33389571152920283,1.348225062070455,0.43778488729718473,5.9,1.160416603088379,0.5769401788711548,0.6617186665534973,0.7807178010802669,0.4242978230349029,0.3748524435560012,0.07901660837188108,0.6028907964278944
all_tasks,42,22,0.6883523380912547,0.33415439679372777,1.3481625740184533,0.4377760721866741,5.9,1.1636300086975098,0.579188346862793,0.661475419998169,0.7793466417425553,0.43025127616065095,0.5045099848744666,0.12782975604708624,0.6049276825539764
all_tasks,42,23,0.684656742488453,0.33348986779758505,1.3455348197029147,0.4362313960837485,5.9,1.1627652645111084,0.5790888071060181,0.6592932939529419,0.7855235229631703,0.42312724165145466,0.4582344745074622,0.10283903472236461,0.604985011115465
all_tasks,42,24,0.6852695824798017,0.3323990552966772,1.3513375406181969,0.4363554229382344,5.8,1.1659060716629028,0.5773688554763794,0.6600455641746521,0.7838907937396496,0.4202257631330566,0.494421328598754,0.1078376791928248,0.5981855030693667
all_tasks,42,25,0.6843828109934861,0.3338077742459993,1.341917856291392,0.4367794408808629,5.8,1.1606478691101074,0.5784338116645813,0.6593231558799744,0.7847896278377001,0.4333617954009763,0.41966010659190117,0.09105518778106753,0.6047815151980362
all_tasks,42,26,0.6865099291093485,0.3310344357157378,1.3599996998841064,0.4364384395847154,5.8,1.162635087966919,0.5767194032669067,0.6604035496711731,0.7819839992536095,0.41656780654660214,0.5018238987685624,0.10142463805907398,0.6033005938633534
all_tasks,42,27,0.6807947799107914,0.33090440551526684,1.3465918083898887,0.43594078127473723,5.8,1.1611063480377197,0.5783453583717346,0.6595613956451416,0.7900693410104926,0.4360518930097666,0.3944060008238679,0.08916715325668365,0.6030234930444237
all_tasks,42,28,0.6773859440759801,0.32691401067519293,1.3538693587852877,0.43585517013437364,5.8,1.1611583232879639,0.5751512050628662,0.6578925251960754,0.7776905878158415,0.43816470188360696,0.4125635597054087,0.09447906045363108,0.608413861191415
all_tasks,42,29,0.6846988789379337,0.3313544103021705,1.3574110803125206,0.4352484095565096,5.8,1.1638520956039429,0.575928270816803,0.6592893600463867,0.7856959591617769,0.4423409966194991,0.390820472372218,0.08422640079755503,0.6001850105247836
all_tasks,42,30,0.6765778768791382,0.32722702414187804,1.351999421046811,0.4353466567514245,5.8,1.1650300025939941,0.5725650787353516,0.6600937843322754,0.7802013255095616,0.41291775131963354,0.4695791567807841,0.10768967091809528,0.6060074854141502
all_tasks,42,31,0.6772403093664927,0.3293502103033024,1.3454869189116632,0.4352739397355042,5.8,1.1585901975631714,0.5730020403862,0.659765362739563,0.7871737457140858,0.44278146460220097,0.4611020457257329,0.10005842980091109,0.6037075139865514
all_tasks,42,32,0.6721415708419017,0.3256687510221806,1.3476535269266654,0.4349893623043877,5.8,1.159124732017517,0.5706300139427185,0.6588267087936401,0.7919203228138921,0.4440446908507769,0.6095196126330669,0.19291716740120407,0.6080619798873889
all_tasks,42,33,0.6716274331490546,0.3245441806238291,1.3493697187786018,0.4355387604392772,5.8,1.161908745765686,0.5701928734779358,0.6615524291992188,0.7923443325969391,0.4424239447029267,0.6051841940836917,0.16572745946606404,0.6093026077324013
all_tasks,42,34,0.6723641504627128,0.3240202056919123,1.3538235824181002,0.4354181884417888,5.8,1.1632466316223145,0.5687809586524963,0.6598408222198486,0.7892804662274959,0.431698864990488,0.5632403767652221,0.16376128180360733,0.6097432573594834
all_tasks,42,35,0.6800821010983147,0.32825306988439185,1.358347891459819,0.4350266698666535,5.8,1.1640825271606445,0.5715736746788025,0.6580038070678711,0.7840915527921334,0.4120693318447735,0.5930944116422965,0.16708105579488503,0.6117310724740584
all_tasks,42,36,0.6694846715469027,0.3239982361746667,1.3473138122058852,0.43503243954421134,5.8,1.1598910093307495,0.5698790550231934,0.6594361662864685,0.7959571625165357,0.4342075827844602,0.5934185302154085,0.1563635634942846,0.6093350478727956
all_tasks,42,37,0.6661559558070903,0.3234165653130894,1.3455935963897205,0.43349601087611833,5.9,1.1615142822265625,0.5685281753540039,0.6592336893081665,0.7855035303604333,0.4422462104919542,0.6107224171900995,0.14101127632023205,0.6114487501065113
all_tasks,42,38,0.6615566939245665,0.32052368973280143,1.3447533171770354,0.43366804133336095,5.8,1.1635887622833252,0.5669041872024536,0.6576026082038879,0.7991909660092433,0.4426072897258543,0.5742486995340995,0.16240801776100738,0.6128183789390023
all_tasks,42,39,0.671534473979317,0.3245757760309236,1.35555400182066,0.43340797234310335,5.8,1.1639740467071533,0.568002462387085,0.6570724844932556,0.7926858728936961,0.4489485824691763,0.6432364596671957,0.18495241564455847,0.6129482892729617
all_tasks,42,40,0.6693882394305484,0.3255946794321443,1.347713285398275,0.4326796581130882,5.8,1.16508150100708,0.5695684552192688,0.6584988832473755,0.7970134383611398,0.45630467376768097,0.595812430612547,0.14736522707638883,0.6104326281909424
all_tasks,42,41,0.6668381465834822,0.3225677923734532,1.350115928847717,0.43374555209838667,5.8,1.1625866889953613,0.5688842535018921,0.6595426797866821,0.7949425379276335,0.4398662262889299,0.617150502782949,0.16429131687705167,0.6130078668267187
all_tasks,42,42,0.6638977086439924,0.32112241019067805,1.349128691650374,0.43345341008302946,5.8,1.160809874534607,0.5673621892929077,0.6590089201927185,0.7935380575853601,0.4422919875575482,0.6239814746809641,0.1637751011952934,0.6148152898811478
all_tasks,42,43,0.6651265705777047,0.32059908394730247,1.358780982452709,0.43215325357612044,5.9,1.1647995710372925,0.5684089660644531,0.6572956442832947,0.7922643621859912,0.4531632947163855,0.5653585901001734,0.1349323226491999,0.6137320858072277
all_tasks,42,44,0.6647286484074905,0.32346033295169146,1.3443306192560487,0.43258981296068716,5.8,1.1613974571228027,0.5683320164680481,0.6592646837234497,0.8017125330294459,0.4511090541414787,0.6500738181380799,0.20557254771257005,0.6133578575142133
all_tasks,42,45,0.6659665884669691,0.32190781246106176,1.3539219527265391,0.43268573752657297,5.8,1.1620721817016602,0.5684401988983154,0.656410276889801,0.7912422403710628,0.4513591227906802,0.5612195586665262,0.13719192214977502,0.6145639982852756
all_tasks,42,46,0.6659635698430924,0.322344439258742,1.353924467313758,0.43209001148632,5.9,1.1608588695526123,0.5679180026054382,0.6587833166122437,0.7940961844117678,0.430593785108559,0.5946522032079755,0.16433183570157617,0.6171014174171688
all_tasks,42,47,0.6641673474332651,0.322706041182493,1.3456872782332407,0.4327080800283424,5.9,1.1578807830810547,0.56816565990448,0.657311737537384,0.7898252646520787,0.44523192164765435,0.6266233869911897,0.21103425944132792,0.6180426197597483
all_tasks,42,48,0.66047055544291,0.3167679251281455,1.3647346788098198,0.43135953066650956,5.9,1.1644498109817505,0.5657343864440918,0.6554561257362366,0.7862774106913776,0.42236565932171244,0.5845161798501497,0.162688335319505,0.6162865456077179
all_tasks,42,49,0.6607359239107656,0.3186425145666672,1.3573559077546065,0.4314815516555153,5.8,1.1649543046951294,0.5633958578109741,0.6568060517311096,0.7986078484294145,0.44871457644074236,0.5653112230180601,0.14835976076325433,0.6169852495278263
all_tasks,42,50,0.6572351801863925,0.3181312897580159,1.3513458428424518,0.4310366180786399,5.9,1.1630209684371948,0.5630579590797424,0.6575178503990173,0.7967085511694008,0.443929901362058,0.5942535746180564,0.15142086392361354,0.6173129471661324
all_tasks,42,51,0.6579601362542814,0.317985095929631,1.3553993379184772,0.4306018373331128,5.8,1.1625072956085205,0.5629593133926392,0.6571076512336731,0.7898844094351756,0.443870469514945,0.5748974688947291,0.14402208713455786,0.6176818418617998
all_tasks,42,52,0.6493426151410981,0.3148007776799681,1.3459130077903447,0.43052215425208146,5.9,1.1588186025619507,0.5625468492507935,0.6546597480773926,0.8013593303810922,0.45031606581593386,0.5814468993720935,0.14511616129807592,0.6198410006931873
all_tasks,42,53,0.6526359102351176,0.3151946327116292,1.3549282623690808,0.42993861527942673,5.9,1.1615204811096191,0.5608283281326294,0.6569046378135681,0.7934614192748684,0.44550823464213685,0.5835885301408985,0.15451206105699689,0.6193046956801618
all_tasks,42,54,0.6555660512770107,0.31699775647388273,1.3546314518004006,0.4300966213363747,5.8,1.1646549701690674,0.563477098941803,0.6561431884765625,0.7936246921972203,0.4470622905670803,0.5874518745123585,0.17037763861331112,0.6188534067064015
all_tasks,42,55,0.6496397372676816,0.3144683423391076,1.3485564318806844,0.4303887891196788,5.9,1.1616401672363281,0.5624436140060425,0.6572141051292419,0.7919877978481296,0.4342568973481781,0.36939511703926997,0.08106823469601857,0.6165447111678833
all_tasks,42,56,0.6539581621057602,0.3159921535628331,1.3522771583894455,0.43086590660191,5.9,1.16742742061615,0.5621793866157532,0.6565283536911011,0.7912014221404747,0.44635723049690224,0.5174188452863367,0.12180357945245082,0.6169486569090015
all_tasks,42,57,0.6496494908259945,0.3155407613411741,1.3465469588879415,0.4295570163227065,5.9,1.1652787923812866,0.5630875825881958,0.6571667194366455,0.7892379819466798,0.43048000643696005,0.5806150482558802,0.1377700690846273,0.6194833095165868
all_tasks,42,58,0.6627824003259167,0.32405612985379834,1.3493169069810727,0.42849743353227343,5.8,1.1624877452850342,0.5674702525138855,0.6565952301025391,0.7941328375167855,0.44363754830260616,0.4513029140867574,0.11488802851063523,0.6191233646194965
all_tasks,42,59,0.6508817335663925,0.3150094369808659,1.3526460096305115,0.4293694424577155,5.8,1.1606988906860352,0.5641291737556458,0.6567637324333191,0.7914371682477483,0.4374861255366902,0.5356317544660771,0.1451454255107445,0.6174955065550732
all_tasks,123,1,1.0263985988875144,0.3897665732552391,1.3450847715790095,0.4679880349136336,5.8,1.0793719291687012,0.8939917683601379,0.890404462814331,0.6409086971154007,0.2528818405208147,0.5974298301916716,0.12402542966865619,0.5337603960651773
all_tasks,123,2,0.9021428557983132,0.3787942042647491,1.3559930345377027,0.44835763180620286,5.8,1.128559947013855,0.8092492818832397,0.8084357380867004,0.6635969691214251,0.2941970870753194,0.5683421840589012,0.12651256365380953,0.5511738884595222
all_tasks,123,3,0.8250343539308773,0.3750064535042084,1.3465205342488518,0.44750637883182176,5.7,1.1493006944656372,0.7420295476913452,0.749209463596344,0.7048721139844925,0.31357566658132485,0.5707360844560396,0.11945514932878502,0.5578778369095736
all_tasks,123,4,0.7784707481163557,0.369113551997722,1.344647843764859,0.4468011941972258,5.7,1.1563109159469604,0.6914392709732056,0.7096577882766724,0.7165115573904323,0.3228719818532291,0.38892366023006564,0.0875212419197639,0.5555452455031759
all_tasks,123,5,0.7561617579522611,0.36383211846955477,1.3558347321493658,0.4461377544174028,5.7,1.160785436630249,0.6548690795898438,0.6867576241493225,0.7033601734025078,0.3201658055436176,0.5964436368977861,0.15298824503165329,0.5596842837293012
all_tasks,123,6,0.7481516737604766,0.3659455126810282,1.3558845275354177,0.44439847123154386,5.7,1.1622732877731323,0.6325609087944031,0.6742880344390869,0.6894857236155956,0.31124581635807125,0.6052991523953374,0.13511649029625497,0.5638732151599729
all_tasks,123,7,0.7363934526016619,0.3603014096162205,1.3519451248593726,0.44435401475585706,5.9,1.16380774974823,0.6163969039916992,0.66885906457901,0.7173025147362143,0.33493927305066284,0.6130221156374173,0.1777618018136185,0.5733109343739943
all_tasks,123,8,0.7355238278620108,0.3611283951060741,1.3492450039980193,0.4445093745227464,6.0,1.1602979898452759,0.6074159741401672,0.6671959757804871,0.7336810380159341,0.3464312422014567,0.5926995085532176,0.16371755330458512,0.5794525864749446
all_tasks,123,9,0.7306724836212058,0.35829629602650886,1.3522686403911708,0.4428776756384487,6.0,1.161412000656128,0.6036505103111267,0.6659066081047058,0.713024514263056,0.33772450262353026,0.6279097492099277,0.18964678613464198,0.5790528007388912
all_tasks,123,10,0.7240792648240468,0.3534102842667217,1.3586561312842056,0.44104762069523074,6.1,1.164745569229126,0.5981465578079224,0.664414644241333,0.7504181786072486,0.36058143823961636,0.6042645275905271,0.14535026501827394,0.5765241576044354
all_tasks,123,11,0.7225957782247702,0.3501689396961287,1.360663364027265,0.4432284657611597,5.9,1.1655185222625732,0.5948972702026367,0.6668611764907837,0.742225376610654,0.35723984298937744,0.49269535728085284,0.09709122756151382,0.58341727304053
all_tasks,123,12,0.710729737859626,0.3495568290808315,1.3366153047594962,0.4413727337095935,5.8,1.1580623388290405,0.5931508541107178,0.6650475263595581,0.7644838076578333,0.37646369523373535,0.6052251745929358,0.1359064676549396,0.5823571212264471
all_tasks,123,13,0.712602944483403,0.3492595894367934,1.3447568770579374,0.44077104069780576,5.8,1.1596043109893799,0.5922040343284607,0.6634160876274109,0.759559796208736,0.3829528948878344,0.6171909510777874,0.13421580448353,0.5847651843144582
all_tasks,123,14,0.6977510138630346,0.3506097840429914,1.2973409289876447,0.4417463831245639,5.8,1.141935110092163,0.5930250287055969,0.6649720072746277,0.7750357367773925,0.3846139866948738,0.6906556987921926,0.18106569167657793,0.5798663720853101
all_tasks,123,15,0.6728087745639435,0.34349828333833854,1.2622285172928889,0.4408262049266865,5.8,1.1270380020141602,0.5885820984840393,0.66256183385849,0.7652385284111546,0.39356328713107364,0.7023814465800434,0.19460153013893416,0.588768925417723
all_tasks,123,16,0.6621441385631478,0.34206121802069733,1.2422907706431425,0.4403439701644614,5.8,1.1195979118347168,0.5856653451919556,0.6637499332427979,0.7780662821422742,0.41328098600864793,0.6894454432334792,0.1775557181638051,0.5885166786485625
all_tasks,123,17,0.66709810768673,0.34346856290726685,1.2487550419490931,0.44064806954829455,5.8,1.1183499097824097,0.5864202380180359,0.663523256778717,0.7813925514226403,0.4127843546526091,0.7053256566727446,0.1901628221373995,0.5847683584201688
all_tasks,123,18,0.6520503967609989,0.3378390201965274,1.2307363589778217,0.4410287957784911,5.8,1.1115227937698364,0.5828457474708557,0.662190854549408,0.7733571911725994,0.4129271035261238,0.686205321931172,0.17796970769816334,0.5885249489060985
all_tasks,123,19,0.657633224038578,0.3407217397570089,1.2359981370284567,0.44038806497790406,5.8,1.1102720499038696,0.5838975310325623,0.6628274321556091,0.7796631912858909,0.41975735643942924,0.6931411400671228,0.18950880258329625,0.5839025154263661
all_tasks,123,20,0.6481394655839845,0.33741049637700793,1.223963946234191,0.4406254514075783,5.8,1.1048990488052368,0.5833482146263123,0.6642751097679138,0.7807111368793546,0.43348055096039817,0.7031409165370724,0.19798830891872413,0.5887562761522268
all_tasks,123,21,0.6458023052548737,0.33881688365249135,1.215978829100663,0.43962799097252725,5.8,1.1017742156982422,0.5826365351676941,0.6636846661567688,0.7766759632269394,0.4242684978795558,0.6704996748169981,0.1823766656500449,0.5877978972129767
all_tasks,123,22,0.6436645362574981,0.3341938178482014,1.2280103072328858,0.43942580863377934,5.8,1.1065146923065186,0.5784436464309692,0.6659173965454102,0.7751315346655071,0.4306077250359627,0.6949911173415678,0.19702852337724414,0.5913000646360248
all_tasks,123,23,0.6398557781132027,0.33575705982191595,1.2118607129592562,0.4398842735061479,5.8,1.1026266813278198,0.57993084192276,0.6631000638008118,0.7888872783736683,0.4315322349167533,0.6905801243465738,0.1998586309861322,0.5954807724654877
all_tasks,123,24,0.644953500105304,0.3356895118821656,1.2248874361338054,0.4397369145566199,5.8,1.1042449474334717,0.5791282653808594,0.664165198802948,0.7817449210458798,0.44302443873359226,0.6860328844637036,0.1840946949119603,0.5968022513605529
all_tasks,123,25,0.6366796812376081,0.33228019081609217,1.2190435864519344,0.43907277813124346,5.8,1.1038212776184082,0.57624751329422,0.6606034636497498,0.79236099309922,0.4341461453212682,0.6874091909170161,0.186065173938571,0.5954047523063999
all_tasks,123,26,0.638479443486601,0.33213271428403895,1.2251856056363302,0.4386410368321764,5.8,1.1043572425842285,0.5766928791999817,0.6600759625434875,0.7836475504063496,0.43538288341175657,0.697668155802574,0.19520655247503885,0.5970117228210724
all_tasks,123,27,0.638393973939804,0.3330685193752097,1.2197740994166077,0.4392422558699112,5.8,1.105708360671997,0.5768143534660339,0.6628007888793945,0.7821539363768739,0.42205835204492415,0.6933444459701258,0.1972590026494981,0.5986828401081149
all_tasks,123,28,0.6320341396019449,0.33103208087677516,1.2153418126585183,0.43792163219514374,5.8,1.0990906953811646,0.5754305720329285,0.6607686281204224,0.7849678952121049,0.43798265806064063,0.6995575169430456,0.19771979769896203,0.5992501326213088
all_tasks,123,29,0.6399691220714536,0.33477574739784133,1.2173304302723646,0.43922625202278903,5.8,1.102710485458374,0.5784929394721985,0.659734845161438,0.77454258590988,0.43653919782848494,0.703961058936359,0.2067414931479432,0.6006664149105457
all_tasks,123,30,0.6315592777260526,0.33161200277149416,1.212179084011561,0.43794547001867834,5.8,1.1001828908920288,0.5759817957878113,0.6606742739677429,0.7748707978048123,0.4382262757603879,0.7053937801166826,0.20696793711245487,0.5941391596295044
